tweet_id	start_pos	end_pos	named_entity_type
1275635208189075457	0	6	PERSON
1351089913861648388	13	20	PERSON
1270134830647345153	0	5	PERSON
1352955129520119809	13	17	ORGANIZATION
1352955129520119809	64	72	PERSON
1281305161181298694	33	39	LOCATION
1305964153451032577	0	5	ORGANIZATION
1305964153451032577	46	64	TVSHOW
1305964153451032577	133	151	TVSHOW
1328459775537946625	81	93	PERSON
1290529534043881472	19	38	PERSON
1405393274035216384	40	73	ORGANIZATION
1405393274035216384	75	86	PERSON
1405393274035216384	99	112	PERSON
1347979835486969858	0	4	PERSON
1347979835486969858	9	27	PERSON
1347979835486969858	44	57	TVSHOW
1273517974775889920	0	5	LOCATION
1357664984071892992	6	11	PERSON
1388268427677143042	0	5	PERSON
1281573604086489089	24	30	LOCATION
1302910758385319936	42	47	PERSON
1302910758385319936	70	83	TVSHOW
1405568233885798407	26	34	PRODUCT
1405568233885798407	63	71	PRODUCT
1405568233885798407	76	101	ORGANIZATION
1405568233885798407	126	134	PRODUCT
1393751008518582274	0	9	PERSON
1281124554874765312	98	110	PERSON
1281124554874765312	131	139	TIME
1281124554874765312	140	145	LOCATION
1281124554874765312	186	194	TIME
1350544466881490945	0	5	PERSON
1350544466881490945	72	83	PRODUCT
1297111410300813314	42	57	PERSON
1402860129842872321	27	31	ORGANIZATION
1402860129842872321	45	53	LOCATION
1402860129842872321	54	60	LOCATION
1402860129842872321	67	70	ORGANIZATION
1402860129842872321	139	145	LOCATION
1409257610113597448	133	136	ORGANIZATION
1409257610113597448	157	162	PERSON
1379398199757189121	0	7	PERSON
1379398199757189121	69	79	PRODUCT
1379398199757189121	96	104	MONEY
1379398199757189121	217	222	MONEY
1377880320716984325	30	42	PERSON
1393282198158118913	0	6	ORGANIZATION
1393282198158118913	7	16	ORGANIZATION
1393282198158118913	17	24	ORGANIZATION
1393282198158118913	25	28	ORGANIZATION
1393282198158118913	30	36	ORGANIZATION
1367140638337216517	8	15	PERSON
1367140638337216517	94	108	PERSON
1369002610838142984	70	75	PERSON
1369002610838142984	82	95	PERSON
1393676592866541573	5	9	PERSON
1375821032704069640	53	59	ORGANIZATION
1342203767358443520	4	9	PERSON
1342203767358443520	10	22	PRODUCT
1408163556198125572	0	7	PERSON
1408163556198125572	26	29	ORGANIZATION
1300483914528677891	0	3	PRODUCT
1318256429057347584	0	30	ORGANIZATION
1336396336468549632	28	46	PERSON
1292025724241678336	44	63	ORGANIZATION
